seq_id,run_id,year,sample_collection_date,corrected_date,outbreak_place,region,province,district,locality
107_2018_illumina,illumina,2018,25/03/2018,25-Mar-18,Arequipa,Arequipa,Arequipa,Cerro Colorado,M. Vargas Llosa
107_2021_aqp12,aqp12,2021,3/20/21,20-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
1101786_meta-illumina,meta-illumina,2011,2/26/11,26-Mar-11,Puno,Puno,Azangaro,Caminaca,San Pedro
1101787_meta-illumina,meta-illumina,2011,3/3/11,3-Mar-11,Puno,Puno,Azangaro,Caminaca,San Sebastian
12_2021_aqp13,aqp13,2021,20/01/2021,20-Jan-21,Arequipa,Arequipa,Arequipa,Yura,Ciudad de Dios
1203037_meta-illumina,meta-illumina,2012,5/8/12,8-May-12,Puno,Puno,Puno,Atuncolla,Ticanipampa
121_2019_illumina,illumina,2019,22/04/2019,22-Apr-19,Arequipa,Arequipa,Arequipa,Cerro Colorado,M. Vargas Llosa
126_2021_aqp14,aqp14,2021,3/31/21,31-Mar-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Av cerrillos
145_2022_aqp14,aqp14,2022,6/9/22,9-Jun-22,Arequipa,Arequipa,Arequipa,Cerro Colorado,JLByR sector 5
147_2021_aqp12,aqp12,2021,4/19/21,19-Apr-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
147_2021_aqp13,aqp13,2021,4/19/21,19-Apr-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
147_2022_aqp14,aqp14,2022,6/10/22,10-Jun-22,Arequipa,Arequipa,Arequipa,Yura,Perlas de Yura
148_2021_aqp13,aqp13,2021,20/04/2021,20-Apr-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,villa Cerrillos
158_2022_aqp14,aqp14,2022,6/21/22,21-Jun-22,Arequipa,Arequipa,Arequipa,Jacobo Hunter,Tingo Grande
167_2021_aqp13,aqp13,2021,6/5/21,5-Jun-21,Arequipa,Arequipa,Arequipa,Paucarpata,Paucarpata
172_2022_aqp14,aqp14,2022,7/8/22,8-Jul-22,Arequipa,Arequipa,Arequipa,Cayma,Los Pioneros
173_2023_aqp14,aqp14,2023,7/12/22,12-Jul-22,Arequipa,Arequipa,Arequipa,Jacobo Hunter,San Juan de Dios
174_2021_aqp13,aqp13,2021,11/5/21,5-Nov-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,JLByR
18_2021_aqp13,aqp13,2019,25/01/2021,25-Jan-21,Arequipa,Arequipa,Arequipa,Cayma,Buenos Aires
182_2019_illumina,illumina,2022,13/06/2019,16-Jun-19,Arequipa,Arequipa,Arequipa,Alto Selva Alegre,Avis Cruce Chilina
187_2022_aqp13,aqp13,2022,17/10/2022,17-Oct-22,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
196_2021_aqp13,aqp13,2021,9/6/21,6-Sep-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Rio Seco
202_2021_aqp12,aqp12,2021,6/14/21,14-Jun-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
202_2021_aqp13,aqp13,2021,14/06/2021,14-Jun-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
219_2022_aqp14,aqp14,2022,8/31/22,31-Aug-22,Arequipa,Arequipa,Arequipa,Characato,Yanayaco
231_2021_aqp14,aqp14,2021,7/15/21,15-Jul-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,JLByR sector 5
236_2022_aqp12,aqp12,2022,9/7/22,7-Sep-22,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
250_2021_aqp12,aqp12,2021,8/10/21,10-Aug-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
251_2021_aqp12,aqp12,2021,8/10/21,10-Aug-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
30_2021_aqp14,aqp14,2021,2/5/21,5-Feb-21,Arequipa,Arequipa,Arequipa,Yura,Ciudad de Dios
31_2021_aqp14,aqp14,2021,2/8/21,8-Feb-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Las Flores
34_2021_aqp12,aqp12,2021,2/10/21,10-Feb-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
34_2021_aqp13,aqp13,2021,10/2/21,2-Oct-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
3553_2010_illumina,illumina,2010,1/1/10,2010,Puno,Puno,Azangaro,,
375_2017_illumina,illumina,2017,23/11/2017,23-Nov-17,Arequipa,Arequipa,Arequipa,Mariano Melgar,Asc. Los Rosales
40_2021_aqp14,aqp14,2021,2/15/21,15-Feb-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Pedro P. Diaz
52_2021_aqp12,aqp12,2021,2/24/21,24-Feb-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
56_2021_aqp14,aqp14,2021,2/27/21,27-Feb-21,Arequipa,Arequipa,Arequipa,Yura,Altiplano Profundo
560_2015_illumina,illumina,2015,9/7/15,7-Sep-15,Arequipa,Arequipa,Arequipa,Mariano Melgar,Psje Sr. De Huanca MZ2 L6
61_2021_aqp14,aqp14,2021,3/1/21,1-Mar-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Lomas Grupo 3
676_1999_illumina,illumina,1999,1/1/99,1999,Madre de Dios,Madre De Dios,Tambopata,Las Piedras,
68_2021_aqp12,aqp12,2021,3/3/21,3-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
71_2021_aqp12,aqp12,2021,3/6/21,6-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
71_2021_aqp13,aqp13,2021,6/3/21,3-Jun-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
73_2021_aqp12,aqp12,2021,3/6/21,6-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal
9_2021_aqp13,aqp13,2021,14/01/2021,14-Jan-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Upis Salvador
90_2021_aqp14,aqp14,2021,3/13/21,13-Mar-21,Arequipa,Arequipa,Arequipa,Yura,Camineros
92_2021_aqp13,aqp13,2021,15/03/2021,15-Mar-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,APIPA
93_2021_aqp13,aqp13,2021,15/03/2021,15-Mar-21,Arequipa,Arequipa,Arequipa,Cercado,Vallecito
CNExt_2023_aqp13,aqp13,2023,,,,,,,